,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,lam,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.3376, 0.3921, 0.4279, 0.4794, 0.4819, 0.5091, 0.5175, 0.5114, 0.5289, 0.5274]","[0.3242, 0.3686, 0.381, 0.4116, 0.4113, 0.4235, 0.4299, 0.4193, 0.4335, 0.427]","[1.889079572958215, 1.778509872377755, 1.6999955030414882, 1.6281678557430175, 1.6143027832632149, 1.5800782026526912, 1.5579194518886685, 1.5976868163167273, 1.5682146367274883, 1.5571036456452425]","[1.9316762129330567, 1.866210106371804, 1.8187046257175103, 1.7937649821245578, 1.8031443934055367, 1.7871534796221797, 1.795748791770287, 1.8362681015132076, 1.8270154486258776, 1.8333592956424019]",0.995,10,0.0034999999999999996,0.5274,0.427,1.5571036456452425,1.8333592956424019,0.17437019058539147,0.8
0,50,"[0.2923, 0.3685, 0.4167, 0.4418, 0.464, 0.4785, 0.4882, 0.4953, 0.5308, 0.5325]","[0.275, 0.3485, 0.3901, 0.3997, 0.4149, 0.4171, 0.4222, 0.4199, 0.4369, 0.4343]","[2.0074406504806337, 1.8267670368452817, 1.7243830270982257, 1.6660136041284257, 1.6308905141866612, 1.5999031021841534, 1.5869220968667768, 1.596069617959813, 1.523856005765061, 1.5296228681062063]","[2.035584601657587, 1.8843198102307717, 1.8050322022926073, 1.781456066119065, 1.765082051466528, 1.7638636211384786, 1.7714184514170248, 1.8027355483403276, 1.7592587016033907, 1.7737053456986822]",0.995,10,0.0034999999999999996,0.5325,0.4343,1.5296228681062063,1.7737053456986822,0.09511101304657718,0.8
0,50,"[0.37, 0.4021, 0.438, 0.4516, 0.4625, 0.4868, 0.4979, 0.5102, 0.5083, 0.4943]","[0.3423, 0.3595, 0.3827, 0.3747, 0.3915, 0.4003, 0.4106, 0.4238, 0.4065, 0.4023]","[1.8322497426762823, 1.7723079235063732, 1.700463453296028, 1.7000484129903128, 1.6967519576445382, 1.6614357919538694, 1.6285785504085117, 1.6289791211014268, 1.6368841713052729, 1.6569224550566668]","[1.901654111554033, 1.8989864850686324, 1.8633844957960763, 1.8945034341795557, 1.9179301033768779, 1.904319040807712, 1.8902276539619824, 1.896608660689525, 1.9038043602902173, 1.9534363459623225]",0.995,10,0.00275,0.4943,0.4023,1.6569224550566668,1.9534363459623225,0.3328885456630202,0.8
0,50,"[0.3508, 0.4194, 0.4449, 0.4798, 0.4749, 0.4815, 0.5097, 0.5123, 0.5074, 0.536]","[0.3351, 0.3822, 0.3901, 0.4168, 0.4055, 0.4058, 0.4053, 0.4183, 0.4119, 0.4287]","[1.8546256274095427, 1.7265036603978916, 1.6982586465225191, 1.616068828456705, 1.6288130678906565, 1.6206089533452628, 1.5823358554503204, 1.6156564599440497, 1.5835238776445144, 1.5493187449540369]","[1.9091300566133635, 1.8466799297870549, 1.8662174309712865, 1.80921882168376, 1.8441009712358059, 1.864938125583204, 1.845534866119671, 1.9069755755550952, 1.8896891053865312, 1.8601780419089065]",0.995,10,0.00275,0.536,0.4287,1.5493187449540369,1.8601780419089065,0.2536293681242058,0.8
0,50,"[0.3512, 0.4041, 0.4562, 0.4667, 0.4764, 0.5137, 0.5301, 0.5231, 0.5393, 0.5583]","[0.3384, 0.3653, 0.4021, 0.3963, 0.3988, 0.4316, 0.4318, 0.4172, 0.4326, 0.4336]","[1.873985176762618, 1.7241724985673947, 1.636729470098829, 1.608202763733193, 1.5972987007915431, 1.5372872398036166, 1.5143407798988504, 1.5372030036457294, 1.5050805190836458, 1.4844468975543292]","[1.9160893970796893, 1.824806554398013, 1.7829613443042232, 1.788763746361208, 1.8053422739259355, 1.783277064137023, 1.7907267564828648, 1.8319442368220717, 1.8252506222728482, 1.8156880325069586]",0.995,10,0.00275,0.5583,0.4336,1.4844468975543292,1.8156880325069586,0.17437019058539147,0.8
0,50,"[0.2642, 0.3741, 0.4147, 0.4436, 0.4623, 0.4887, 0.4953, 0.5162, 0.5253, 0.5194]","[0.2496, 0.3551, 0.382, 0.3991, 0.4133, 0.4216, 0.4229, 0.4332, 0.4339, 0.4194]","[2.0193298006438742, 1.813625652315929, 1.7166485998186842, 1.6579600045984089, 1.6151204599879545, 1.5718249905252732, 1.5491180177134003, 1.516333328847398, 1.4976442502254124, 1.514278198069991]","[2.0515110101655987, 1.86516967803385, 1.804496887333646, 1.7823947325256078, 1.7604451821019909, 1.7477914683788414, 1.752603674100705, 1.744314747807718, 1.7486329189529315, 1.7890165619797993]",0.995,10,0.00275,0.5194,0.4194,1.514278198069991,1.7890165619797993,0.09511101304657718,0.8
0,50,"[0.3629, 0.4116, 0.432, 0.4778, 0.4638, 0.493, 0.471, 0.5233, 0.5469, 0.5299]","[0.3392, 0.3752, 0.3814, 0.4053, 0.3879, 0.4011, 0.3821, 0.4159, 0.4288, 0.4191]","[1.8095224537725338, 1.7012435579487126, 1.703539950755401, 1.6002575777243018, 1.67587751974516, 1.5846438780782224, 1.6757208825418852, 1.5686121997356524, 1.515393949557057, 1.5725167077316484]","[1.892328290772753, 1.8285026826896265, 1.8806483448174076, 1.8309111329867402, 1.9575824979303806, 1.8600298632192915, 1.9920897812594833, 1.8797070368306628, 1.842176646240774, 1.949713165621624]",0.995,10,0.0019999999999999996,0.5299,0.4191,1.5725167077316484,1.949713165621624,0.3328885456630202,0.8
0,50,"[0.3703, 0.4229, 0.4556, 0.4491, 0.4895, 0.5242, 0.5266, 0.5022, 0.555, 0.5426]","[0.3528, 0.378, 0.3974, 0.3837, 0.4103, 0.4287, 0.4236, 0.4009, 0.4149, 0.4098]","[1.8069511395010929, 1.7152408517340172, 1.624167268817992, 1.650780730136782, 1.581712548689549, 1.5233141212140717, 1.5083335580762864, 1.5976779146337654, 1.4846375286762694, 1.5202835682917695]","[1.862300281481808, 1.8269594812893861, 1.7858594470827938, 1.8488899761074895, 1.8288117342597392, 1.810594768610894, 1.841743717842792, 1.95671320608542, 1.8514911121626498, 1.908474322242229]",0.995,10,0.0019999999999999996,0.5426,0.4098,1.5202835682917695,1.908474322242229,0.2536293681242058,0.8
0,50,"[0.3282, 0.4152, 0.4595, 0.4755, 0.4856, 0.5083, 0.5335, 0.5253, 0.5566, 0.5559]","[0.3167, 0.3809, 0.4079, 0.4119, 0.4039, 0.4192, 0.4228, 0.4221, 0.4285, 0.4287]","[1.8847551597302865, 1.70205001008912, 1.612375034289639, 1.5644006443446403, 1.5577557757277727, 1.514113089849543, 1.4851574990810827, 1.5121145592429064, 1.4542106916287512, 1.4596796936387888]","[1.9309251999028052, 1.7959265325434854, 1.7585897686882719, 1.76968704770385, 1.7956475171838664, 1.7746336790357877, 1.782271704965194, 1.8354361193031168, 1.8275436591108931, 1.8475354794532295]",0.995,10,0.0019999999999999996,0.5559,0.4287,1.4596796936387888,1.8475354794532295,0.17437019058539147,0.8
0,50,"[0.2883, 0.3803, 0.418, 0.4476, 0.4719, 0.4905, 0.5197, 0.5167, 0.5226, 0.5436]","[0.2714, 0.3629, 0.388, 0.3992, 0.4148, 0.4236, 0.4341, 0.4267, 0.4198, 0.4306]","[1.9794391631141428, 1.797157145426038, 1.6930783826958997, 1.6390452803851807, 1.5796252387373402, 1.5356847492966361, 1.4902228028654405, 1.482629049107878, 1.4793972073604453, 1.4423747388080423]","[2.0116862847042047, 1.8509061510704974, 1.784117200152385, 1.7597073484773773, 1.7423679628061428, 1.726780876206237, 1.7142365315724764, 1.7378358329432806, 1.7691880269003726, 1.7632453474811085]",0.995,10,0.0019999999999999996,0.5436,0.4306,1.4423747388080423,1.7632453474811085,0.09511101304657718,0.8
