,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,lam,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.3679, 0.3688, 0.3647, 0.4036, 0.3657]","[0.341, 0.3496, 0.3445, 0.3639, 0.3471]","[1.9242517224516382, 1.9258773612272748, 1.9547360914911942, 1.9167196877248482, 1.975067524134865]","[1.9755511911812622, 1.9961145613509106, 2.0223688204963564, 1.9896552587543304, 2.0363338158481663]",0.995,5,0.01,0.3657,0.3471,1.975067524134865,2.0363338158481663,0.48762437656093754,0.8
0,50,"[0.3587, 0.403, 0.4163, 0.4509, 0.4326]","[0.3396, 0.3753, 0.3764, 0.4067, 0.3915]","[1.9248859451195457, 1.8294872959191981, 1.8344479942960994, 1.801328819460413, 1.8095533753282658]","[1.9669609727534694, 1.9053762289512197, 1.9350581436900922, 1.8992889162197057, 1.917345460685068]",0.995,5,0.01,0.4326,0.3915,1.8095533753282658,1.917345460685068,0.24381218828046877,0.8
0,50,"[0.276, 0.3506, 0.3997, 0.4189, 0.4313]","[0.2599, 0.3402, 0.3712, 0.3872, 0.3923]","[2.076684526284831, 1.9073510447083553, 1.8362910409572493, 1.800240253544701, 1.7897670200361624]","[2.1048690494456634, 1.9517446191820855, 1.9021767206259197, 1.8805169542062918, 1.885595989853542]",0.995,5,0.01,0.4313,0.3923,1.7897670200361624,1.885595989853542,0.09752487531218751,0.8
0,50,"[0.222, 0.2965, 0.3494, 0.3723, 0.3973]","[0.2135, 0.2809, 0.3354, 0.3567, 0.3738]","[2.242632368753495, 2.05108417035607, 1.9493648665223926, 1.8843292838800707, 1.8431322671455284]","[2.256933340073107, 2.080986430235861, 1.9829568729102824, 1.932117271479827, 1.8997529309534038]",0.995,5,0.01,0.3973,0.3738,1.8431322671455284,1.8997529309534038,0.048762437656093754,0.8
0,50,"[0.1733, 0.1904, 0.2038, 0.2287, 0.2555]","[0.1669, 0.1808, 0.194, 0.2155, 0.2429]","[2.4364507196684353, 2.392833097171754, 2.3115930893172747, 2.244192069353147, 2.1880928649779583]","[2.437066781433019, 2.3957984007547073, 2.3203612374814884, 2.2579590430185656, 2.2049868024182993]",0.995,5,0.01,0.2555,0.2429,2.1880928649779583,2.2049868024182993,0.00975248753121875,0.8
0,50,"[0.1455, 0.212, 0.2186, 0.208, 0.2047]","[0.1447, 0.1966, 0.2066, 0.1983, 0.1955]","[2.4479102864271662, 2.4363717433595653, 2.41955917237459, 2.391515252368407, 2.3499273162401653]","[2.4480977017201737, 2.4370127949696507, 2.4210141049587826, 2.3945866188448974, 2.355788703044728]",0.995,5,0.01,0.2047,0.1955,2.3499273162401653,2.355788703044728,0.004876243765609375,0.8
0,50,"[0.0985, 0.1089, 0.1239, 0.1376, 0.1571]","[0.0982, 0.1079, 0.1229, 0.135, 0.1541]","[2.455054542236181, 2.4529288952208104, 2.4507952174941265, 2.448619745357084, 2.4463798584183656]","[2.4551342728951666, 2.4530958128278564, 2.4510533423512366, 2.448977873112656, 2.4468428857495628]",0.995,5,0.01,0.1571,0.1541,2.4463798584183656,2.4468428857495628,0.000975248753121875,0.8
0,50,"[0.2479, 0.2725, 0.2903, 0.2738, 0.2626]","[0.2368, 0.2691, 0.2738, 0.2612, 0.2552]","[2.2078688424641797, 2.1636548324874654, 2.1430136217953484, 2.1876889233548003, 2.1712032529483647]","[2.228401885751609, 2.1900087234215038, 2.168385089853129, 2.2022898464996237, 2.19007481096358]",0.995,5,0.05,0.2626,0.2552,2.1712032529483647,2.19007481096358,0.48762437656093754,0.8
0,50,"[0.299, 0.3011, 0.3178, 0.301, 0.2941]","[0.288, 0.2868, 0.306, 0.2885, 0.2812]","[2.12598752548938, 2.1213027217475164, 2.111683357700831, 2.101069248635167, 2.113723926356351]","[2.141270580172039, 2.1447298376097907, 2.12741982063808, 2.1212711624337777, 2.1351209749531592]",0.995,5,0.05,0.2941,0.2812,2.113723926356351,2.1351209749531592,0.24381218828046877,0.8
0,50,"[0.247, 0.2921, 0.3194, 0.3184, 0.324]","[0.2321, 0.2796, 0.2971, 0.3038, 0.3116]","[2.154565197095079, 2.11461961904934, 2.1043716220307056, 2.098436426358439, 2.087631445473011]","[2.173841352305834, 2.135856887247576, 2.1252153242656746, 2.122378515330017, 2.111649034730165]",0.995,5,0.05,0.324,0.3116,2.087631445473011,2.111649034730165,0.09752487531218751,0.8
