,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.2245, 0.3088, 0.3704, 0.3934, 0.4267]","[0.2154, 0.2963, 0.3521, 0.3657, 0.3877]","[2.102191759488012, 1.901200066795521, 1.7874624416684413, 1.7033593567918301, 1.6364479195706128]","[2.120102400230661, 1.9345682005208331, 1.832111172825203, 1.7692924198224922, 1.7222184906265026]",0.995,5,0.4267,0.3877,1.6364479195706128,1.7222184906265026,0.048762437656093754,0.8
0,50,"[0.1757, 0.1936, 0.1978, 0.232, 0.2571]","[0.1669, 0.179, 0.185, 0.2154, 0.2428]","[2.293763104988264, 2.259590628799781, 2.1798724244115024, 2.111437042104964, 2.053451073137869]","[2.29460140380882, 2.2630247412387816, 2.189831872184249, 2.1266815537077286, 2.0725816408197484]",0.995,5,0.2571,0.2428,2.053451073137869,2.0725816408197484,0.00975248753121875,0.8
0,50,"[0.1622, 0.229, 0.2282, 0.2209, 0.2132]","[0.1635, 0.2134, 0.2137, 0.206, 0.202]","[2.29901840586501, 2.292631529191025, 2.279104737571858, 2.2515943737522286, 2.2089354763835525]","[2.299061248153421, 2.2932360492599093, 2.2807987066849256, 2.2554509850319384, 2.21630408515997]",0.995,5,0.2132,0.202,2.2089354763835525,2.21630408515997,0.004876243765609375,0.8
0,50,"[0.0955, 0.1001, 0.1039, 0.1106, 0.1189]","[0.1001, 0.1033, 0.1092, 0.114, 0.1209]","[2.3028023700037172, 2.302035428179777, 2.3012429994390757, 2.300402847005414, 2.299493504201745]","[2.3025344367590788, 2.301838236430765, 2.3011171943479516, 2.300348848557655, 2.29951775450274]",0.995,5,0.1189,0.1209,2.299493504201745,2.29951775450274,0.000975248753121875,0.8
0,50,"[0.3592, 0.4001, 0.4331, 0.4385, 0.4793]","[0.3291, 0.3501, 0.3623, 0.3665, 0.372]","[1.8127609135063616, 1.6667595481214703, 1.605096144878742, 1.5903706617873328, 1.506161200901522]","[1.9102690831049949, 1.8190618135020704, 1.8527315270728981, 1.9031955223005166, 1.9352826346835983]",0.995,5,0.4793,0.372,1.506161200901522,1.9352826346835983,0.48762437656093754,0.8
0,50,"[0.371, 0.4283, 0.4751, 0.5023, 0.5333]","[0.3531, 0.3772, 0.405, 0.4131, 0.4156]","[1.755854022427615, 1.6254975341303115, 1.481927760748407, 1.4014357473878205, 1.3260410755255476]","[1.816359044059353, 1.7576598860032973, 1.696219850793759, 1.6935264621295403, 1.6790710664030049]",0.995,5,0.5333,0.4156,1.3260410755255476,1.6790710664030049,0.24381218828046877,0.8
0,50,"[0.2983, 0.3833, 0.4182, 0.4577, 0.4786]","[0.2776, 0.3602, 0.3839, 0.4064, 0.4212]","[1.9408425351990628, 1.7411169288799133, 1.627905061947732, 1.5433223213785285, 1.4702071085023858]","[1.9701486259972993, 1.8008106335924094, 1.7291529120461382, 1.6894654061363832, 1.6589172723868668]",0.995,5,0.4786,0.4212,1.4702071085023858,1.6589172723868668,0.09752487531218751,0.8
0,50,"[0.2275, 0.3214, 0.3645, 0.3967, 0.4152]","[0.2146, 0.3006, 0.3495, 0.3697, 0.3842]","[2.1011842033676706, 1.8951580822355933, 1.7844767468103855, 1.7003903411804457, 1.6425936488882802]","[2.11916474048742, 1.9279795896038143, 1.8322179768826217, 1.766716252733548, 1.7321028274133041]",0.995,5,0.4152,0.3842,1.6425936488882802,1.7321028274133041,0.048762437656093754,0.8
0,50,"[0.2203, 0.1992, 0.2031, 0.2405, 0.2568]","[0.2039, 0.193, 0.1961, 0.2273, 0.2483]","[2.2928458933326605, 2.2546231609903864, 2.172388531232277, 2.101510316380645, 2.042532256491919]","[2.2933613630508445, 2.2576750630613702, 2.18200058602774, 2.116887725627025, 2.0621842042541343]",0.995,5,0.2568,0.2483,2.042532256491919,2.0621842042541343,0.00975248753121875,0.8
0,50,"[0.1401, 0.1871, 0.1912, 0.1868, 0.1892]","[0.1354, 0.1745, 0.1779, 0.1784, 0.1779]","[2.299447924011994, 2.293822044484096, 2.281870706731161, 2.2580306928220746, 2.221193294236686]","[2.2997020687064644, 2.2944678849788245, 2.2833040614510804, 2.2610408453935054, 2.2269079693567346]",0.995,5,0.1892,0.1779,2.221193294236686,2.2269079693567346,0.004876243765609375,0.8
0,50,"[0.1297, 0.1421, 0.153, 0.1685, 0.1789]","[0.1296, 0.1457, 0.1556, 0.1651, 0.1764]","[2.3017622009053382, 2.3009228940132793, 2.3000441342315274, 2.2990818794632957, 2.2979943181711837]","[2.3017510685361717, 2.3009818719552526, 2.300172989363416, 2.299285292968383, 2.2982806076084574]",0.995,5,0.1789,0.1764,2.2979943181711837,2.2982806076084574,0.000975248753121875,0.8
0,50,"[0.3481, 0.4299, 0.4267, 0.452, 0.5103]","[0.3248, 0.3782, 0.3692, 0.3739, 0.393]","[1.8363436806409947, 1.6300071870216535, 1.6048105037161655, 1.6085113228981487, 1.4019635076547183]","[1.9342299636221845, 1.7963603067627163, 1.8351080751887, 1.9089866616963853, 1.8011923299882797]",0.995,5,0.5103,0.393,1.4019635076547183,1.8011923299882797,0.48762437656093754,0.8
0,50,"[0.3655, 0.4178, 0.4582, 0.4941, 0.5178]","[0.3507, 0.3713, 0.3936, 0.4008, 0.4061]","[1.7628199205686226, 1.6429855947922285, 1.5437962448652223, 1.4365508035596564, 1.3667792998442334]","[1.8202993284381668, 1.7726641727540788, 1.7673143294512348, 1.7143366884498468, 1.7158748930025374]",0.995,5,0.5178,0.4061,1.3667792998442334,1.7158748930025374,0.24381218828046877,0.8
0,50,"[0.2974, 0.3839, 0.4183, 0.4629, 0.4913]","[0.2821, 0.3657, 0.3829, 0.4116, 0.4261]","[1.9369260337394247, 1.7280299003348212, 1.6267945777091808, 1.5307832771076386, 1.4527407350001789]","[1.9651388395660052, 1.7894522496293777, 1.7284279493117811, 1.6752338746339115, 1.6401765054837532]",0.995,5,0.4913,0.4261,1.4527407350001789,1.6401765054837532,0.09752487531218751,0.8
0,50,"[0.2383, 0.3101, 0.3635, 0.3906, 0.4156]","[0.2264, 0.2956, 0.3473, 0.3645, 0.3834]","[2.0779216622568892, 1.9077300989227572, 1.7927106513815805, 1.7101779984281196, 1.6454998894611554]","[2.0954909615701394, 1.9382342719605015, 1.83793527521531, 1.773523118251955, 1.7309378251033074]",0.995,5,0.4156,0.3834,1.6454998894611554,1.7309378251033074,0.048762437656093754,0.8
0,50,"[0.1932, 0.1861, 0.2052, 0.2423, 0.2651]","[0.185, 0.1763, 0.1944, 0.2331, 0.2517]","[2.2902091934874798, 2.245809444140048, 2.165251215544558, 2.090662934769029, 2.0317678446969905]","[2.2911756135228183, 2.2501927552005525, 2.1764630327521557, 2.1071144095799124, 2.051674033765799]",0.995,5,0.2651,0.2517,2.0317678446969905,2.051674033765799,0.00975248753121875,0.8
